budget,homepage,original_language,original_title,overview,release_date,revenue,runtime,status,title,vote_average,vote_count,production_company_id,genre_id,languages
62000000,,en,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",1995-11-17,107879496,106,Released,The American President,6.5,199,5,35,['English']
0,,en,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",1995-12-22,0,88,Released,Dracula: Dead and Loving It,5.7,210,5,35,"['English', 'Deutsch']"
0,,en,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",1995-12-22,11348324,78,Released,Balto,7.1,423,33,10751,['English']
44000000,,en,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",1995-12-22,13681765,192,Released,Nixon,7.1,72,915,36,['English']
98000000,,en,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",1995-12-22,10017322,119,Released,Cutthroat Island,5.7,137,183,28,"['English', 'Latin']"
52000000,,en,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,1995-11-22,116112375,178,Released,Casino,7.8,1343,33,18,['English']
16500000,,en,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",1995-12-13,135000000,136,Released,Sense and Sensibility,7.2,364,441,18,['English']
4000000,,en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,1995-12-09,4300000,98,Released,Four Rooms,6.5,539,14,80,['English']
30000000,,en,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",1995-11-10,212385533,90,Released,Ace Ventura: When Nature Calls,6.1,1128,5682,80,['English']
60000000,,en,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",1995-11-21,35431113,103,Released,Money Train,5.4,224,5,28,['English']
30250000,,en,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",1995-10-20,115101622,105,Released,Get Shorty,6.4,305,216,35,['English']
0,,en,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,1995-10-27,0,124,Released,Copycat,6.5,199,508,18,"['English', 'Deutsch']"
50000000,,en,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",1995-10-06,30303072,132,Released,Assassins,6,394,1885,28,"['English', 'Español', 'Nederlands']"
0,,en,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",1995-10-27,0,111,Released,Powder,6.3,143,175,18,['English']
3600000,http://www.mgm.com/title_title.do?title_star=LEAVINGL,en,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",1995-10-27,49800000,112,Released,Leaving Las Vegas,7.1,365,60,18,['English']
0,,en,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,1995-12-15,0,123,Released,Othello,7,33,5,18,['English']
12000000,,en,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",1995-10-20,27400000,100,Released,Now and Then,6.6,91,12,35,['English']
0,,en,Persuasion,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",1995-09-27,0,104,Released,Persuasion,7.4,36,288,18,['English']
18000000,,fr,La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",1995-05-16,1738611,108,Released,The City of Lost Children,7.6,308,311,14,"['广州话 / 廣州話', 'Français']"
0,,zh,摇啊摇，摇到外婆桥,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,1995-04-30,0,108,Released,Shanghai Triad,6.5,17,2588,18,['普通话']
0,,en,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",1995-08-11,180000000,99,Released,Dangerous Minds,6.4,249,915,18,['English']
29500000,,en,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",1995-12-29,168840000,129,Released,Twelve Monkeys,7.4,2470,33,878,"['English', 'Français']"
0,,fr,"Guillaumet, les ailes du courage",,1996-09-18,0,50,Released,Wings of Courage,6.8,4,70801,10749,['English']
30000000,,en,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",1995-07-18,254134910,89,Released,Babe,6,756,33,14,['English']
0,,en,Carrington,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",1995-11-08,0,121,Released,Carrington,6.4,16,694,36,['English']
11000000,,en,Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,1995-12-29,39363635,122,Released,Dead Man Walking,7.3,350,406,18,['English']
0,,en,Across the Sea of Time,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",1995-10-20,0,51,Released,Across the Sea of Time,3.5,2,53390,12,"['Pусский', 'English']"
0,,en,It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",1995-11-17,0,101,Released,It Takes Two,6.1,149,6130,35,['English']
12000000,,en,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",1995-07-19,0,97,Released,Clueless,6.9,828,4,35,"['Español', 'English']"
